Prompt,Hindi Translation,Code-Mixed (Hinglish),Intent,Context,Tags,Tamil Translation,Bengali Translation,Marathi Translation,Urdu Translation,Telugu Translation,valid_prompt,Symptom,Sentiment,Language
I've heard magnesium can help reduce cramps — what foods are high in magnesium?,मैंने सुना है कि मैग्नीशियम ऐंठन को कम करने में मदद कर सकता है - मैग्नीशियम में कौन से खाद्य पदार्थ अधिक हैं?,I've heard magnesium can help reduce cramps — what foods are high in magnesium ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",மெக்னீசியம் பிடிப்பைக் குறைக்க உதவும் என்று நான் கேள்விப்பட்டேன் - மெக்னீசியம் என்ன உணவுகள் அதிகம்?,আমি শুনেছি ম্যাগনেসিয়াম ক্র্যাম্পগুলি হ্রাস করতে সহায়তা করতে পারে - ম্যাগনেসিয়ামে কোন খাবার বেশি?,मी ऐकले आहे की मॅग्नेशियम पेटके कमी करण्यास मदत करू शकते - मॅग्नेशियममध्ये कोणते पदार्थ जास्त आहेत?,میں نے سنا ہے کہ میگنیشیم درد کو کم کرنے میں مدد کرسکتا ہے - میگنیشیم میں کون سے کھانے کی چیزیں زیادہ ہیں؟,మెగ్నీషియం తిమ్మిరిని తగ్గించడంలో సహాయపడుతుందని నేను విన్నాను - మెగ్నీషియం ఏ ఆహారాలు ఎక్కువగా ఉన్నాయి?,TRUE,headache,positive,Urdu
I need some nutritious meal or snack ideas for when I'm on my period and feeling weak.,मुझे कुछ पौष्टिक भोजन या स्नैक विचारों की आवश्यकता है जब मैं अपनी अवधि पर हूं और कमजोर महसूस कर रहा हूं।,I need some nutritious meal or snack ideas for when I'm on my period and feeling weak. ke baare mein kya jaan sakte hain?,diet_advice,general,general,"நான் எனது காலகட்டத்தில் இருக்கும்போது, பலவீனமாக உணரும்போது எனக்கு சில சத்தான உணவு அல்லது சிற்றுண்டி யோசனைகள் தேவை.",আমি যখন আমার পিরিয়ডে থাকি এবং দুর্বল বোধ করি তখন আমার জন্য কিছু পুষ্টিকর খাবার বা স্ন্যাক আইডিয়া দরকার।,जेव्हा मी माझ्या कालावधीत असतो आणि कमकुवत होतो तेव्हा मला काही पौष्टिक जेवण किंवा स्नॅक कल्पनांची आवश्यकता आहे.,جب میں اپنی مدت پر ہوں اور کمزور محسوس کروں تو مجھے کچھ غذائیت سے بھرپور کھانے یا ناشتے کے آئیڈیوں کی ضرورت ہے۔,నేను నా కాలంలో ఉన్నప్పుడు మరియు బలహీనంగా ఉన్నప్పుడు నాకు కొన్ని పోషకమైన భోజనం లేదా చిరుతిండి ఆలోచనలు అవసరం.,FALSE,stress,neutral,Marathi
I often feel very moody or emotional right before and during my period; why does this happen?,मैं अक्सर अपनी अवधि से पहले और उसके दौरान बहुत मूडी या भावनात्मक महसूस करता हूं; ऐसा क्यूँ होता है?,I often feel very moody or emotional right before and during my period; why does this happen ka kya solution hai?,mental_wellness,general,general,"எனது காலத்திற்கு முன்பும், உணர்ச்சிவசப்படுவதையும் நான் அடிக்கடி உணர்கிறேன்; இது ஏன் நடக்கும்?",আমি প্রায়শই আমার পিরিয়ডের ঠিক আগে এবং সময় খুব মুডি বা সংবেদনশীল বোধ করি; কেন এমন হয়?,माझ्या कालावधीच्या आधी आणि दरम्यान मला बर्‍याचदा मूडी किंवा भावनिक वाटते; हे का घडते?,میں اکثر اپنے مدت سے پہلے اور اس کے دوران بہت مزاج یا جذباتی محسوس کرتا ہوں۔ ایسا کیوں ہوتا ہے؟,నా కాలానికి ముందు మరియు సమయంలో నేను తరచుగా చాలా మూడీ లేదా ఎమోషనల్ గా భావిస్తాను; ఇది ఎందుకు జరుగుతుంది?,TRUE,bloating,negative,Bengali
What can I do to manage stress or anxiety when I'm on my period?,जब मैं अपनी अवधि पर होता हूं तो मैं तनाव या चिंता का प्रबंधन करने के लिए क्या कर सकता हूं?,What can I do to manage stress or anxiety when I'm on my period ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",நான் எனது காலகட்டத்தில் இருக்கும்போது மன அழுத்தத்தை அல்லது பதட்டத்தை நிர்வகிக்க நான் என்ன செய்ய முடியும்?,আমি যখন আমার পিরিয়ডে থাকি তখন স্ট্রেস বা উদ্বেগ পরিচালনা করতে আমি কী করতে পারি?,मी माझ्या कालावधीत असताना तणाव किंवा चिंता व्यवस्थापित करण्यासाठी मी काय करू शकतो?,جب میں اپنی مدت پر ہوں تو تناؤ یا اضطراب کو سنبھالنے کے لئے میں کیا کرسکتا ہوں؟,నేను నా కాలంలో ఉన్నప్పుడు ఒత్తిడి లేదా ఆందోళనను నిర్వహించడానికి నేను ఏమి చేయగలను?,TRUE,low energy,neutral,Bengali
I could really use some tips for coping with mood swings during my period.,मैं वास्तव में अपनी अवधि के दौरान मिजाज के साथ मुकाबला करने के लिए कुछ युक्तियों का उपयोग कर सकता था।,I could really use some tips for coping with mood swings during my period. ke baare mein kya jaan sakte hain?,mental_wellness,mental wellness,"emotion, mental health, stress",எனது காலகட்டத்தில் மனநிலை மாற்றங்களைச் சமாளிக்க சில உதவிக்குறிப்புகளைப் பயன்படுத்தலாம்.,আমি আমার পিরিয়ডের সময় মুড দোলগুলির সাথে লড়াই করার জন্য সত্যিই কিছু টিপস ব্যবহার করতে পারি।,मी माझ्या कालावधीत मूड स्विंग्सचा सामना करण्यासाठी खरोखर काही टिपा वापरू शकलो.,میں واقعی میں اپنی مدت کے دوران موڈ کے جھولوں کا مقابلہ کرنے کے لئے کچھ نکات استعمال کرسکتا ہوں۔,నా కాలంలో మూడ్ స్వింగ్‌లను ఎదుర్కోవటానికి నేను నిజంగా కొన్ని చిట్కాలను ఉపయోగించగలను.,FALSE,stress,neutral,Hinglish
"How do hormones affect my mood during PMS, and are there ways to feel more balanced?","पीएमएस के दौरान हार्मोन मेरे मूड को कैसे प्रभावित करते हैं, और क्या अधिक संतुलित महसूस करने के तरीके हैं?","How do hormones affect my mood during PMS, and are there ways to feel more balanced ka kya solution hai?",mental_wellness,general,general,"PMS இன் போது ஹார்மோன்கள் எனது மனநிலையை எவ்வாறு பாதிக்கின்றன, மேலும் சீரானதாக உணர வழிகள் உள்ளனவா?",পিএমএসের সময় হরমোনগুলি কীভাবে আমার মেজাজকে প্রভাবিত করে এবং আরও সুষম বোধ করার উপায় রয়েছে?,पीएमएस दरम्यान हार्मोन्स माझ्या मूडवर कसा परिणाम करतात आणि अधिक संतुलित वाटण्याचे काही मार्ग आहेत?,پی ایم ایس کے دوران ہارمون میرے موڈ کو کیسے متاثر کرتے ہیں ، اور کیا زیادہ متوازن محسوس کرنے کے طریقے ہیں؟,PMS సమయంలో హార్మోన్లు నా మానసిక స్థితిని ఎలా ప్రభావితం చేస్తాయి మరియు మరింత సమతుల్యతను అనుభవించే మార్గాలు ఉన్నాయా?,TRUE,stress,neutral,Bengali
Could gentle exercise or relaxation techniques help me feel better mentally during my period?,क्या कोमल व्यायाम या विश्राम तकनीक मुझे अपनी अवधि के दौरान मानसिक रूप से बेहतर महसूस करने में मदद कर सकती है?,Could gentle exercise or relaxation techniques help me feel better mentally during my period ka kya solution hai?,mental_wellness,self-care,"coping, remedy, self-help",எனது காலகட்டத்தில் மனதளவில் நன்றாக உணர மென்மையான உடற்பயிற்சி அல்லது தளர்வு நுட்பங்கள் எனக்கு உதவ முடியுமா?,মৃদু অনুশীলন বা শিথিলকরণের কৌশলগুলি কি আমার সময়কালে মানসিকভাবে আরও ভাল বোধ করতে সহায়তা করতে পারে?,माझ्या कालावधीत सभ्य व्यायाम किंवा विश्रांतीची तंत्रे मला मानसिकदृष्ट्या अधिक चांगले वाटण्यास मदत करू शकतात?,کیا نرم ورزش یا آرام کی تکنیک میری مدت کے دوران ذہنی طور پر بہتر محسوس کرنے میں میری مدد کر سکتی ہے؟,సున్నితమైన వ్యాయామం లేదా సడలింపు పద్ధతులు నా కాలంలో మానసికంగా మంచి అనుభూతి చెందడానికి నాకు సహాయపడతాయా?,TRUE,stress,neutral,Tamil
How can I build a positive self-care routine to improve my mood throughout my cycle?,मैं अपने पूरे चक्र में अपने मूड को बेहतर बनाने के लिए एक सकारात्मक आत्म-देखभाल दिनचर्या का निर्माण कैसे कर सकता हूं?,How can I build a positive self-care routine to improve my mood throughout my cycle ka kya solution hai?,mental_wellness,general,general,எனது சுழற்சி முழுவதும் எனது மனநிலையை மேம்படுத்த ஒரு நேர்மறையான சுய பாதுகாப்பு வழக்கத்தை எவ்வாறு உருவாக்குவது?,আমার চক্র জুড়ে আমার মেজাজ উন্নত করতে আমি কীভাবে একটি ইতিবাচক স্ব-যত্ন রুটিন তৈরি করতে পারি?,माझ्या संपूर्ण चक्रात माझा मूड सुधारण्यासाठी मी एक सकारात्मक स्वयं-काळजी नित्यक्रम कसा तयार करू शकतो?,میں اپنے پورے دور میں اپنے مزاج کو بہتر بنانے کے ل a ایک مثبت خود کی دیکھ بھال کا معمول کیسے بنا سکتا ہوں؟,నా చక్రం అంతటా నా మానసిక స్థితిని మెరుగుపరచడానికి నేను సానుకూల స్వీయ-సంరక్షణ దినచర్యను ఎలా నిర్మించగలను?,TRUE,acne,negative,Marathi
What should I do if I feel very anxious or depressed every month before my period?,अगर मैं अपनी अवधि से पहले हर महीने बहुत चिंतित या उदास महसूस करता हूं तो मुझे क्या करना चाहिए?,What should I do if I feel very anxious or depressed every month before my period ka kya solution hai?,mental_wellness,general,general,எனது காலத்திற்கு முன்னர் ஒவ்வொரு மாதமும் நான் மிகவும் ஆர்வமாக அல்லது மனச்சோர்வடைந்தால் நான் என்ன செய்ய வேண்டும்?,আমার পিরিয়ডের আগে প্রতি মাসে খুব উদ্বিগ্ন বা হতাশাগ্রস্থ বোধ করলে আমার কী করা উচিত?,माझ्या कालावधीपूर्वी दरमहा मी खूप चिंताग्रस्त किंवा निराश झाल्यास मी काय करावे?,اگر میں اپنی مدت سے پہلے ہر مہینے بہت پریشان یا افسردہ ہوں تو مجھے کیا کرنا چاہئے؟,నా కాలానికి ముందు ప్రతి నెలా నేను చాలా ఆత్రుతగా లేదా నిరాశకు గురైనట్లయితే నేను ఏమి చేయాలి?,TRUE,cramps,positive,Hinglish
"As a teenager who has just started menstruating, I feel very emotional and anxious; how can I cope with these feelings?","एक किशोरी के रूप में जिसने अभी -अभी मासिक धर्म शुरू किया है, मैं बहुत भावुक और चिंतित महसूस करता हूं; मैं इन भावनाओं का सामना कैसे कर सकता हूं?","As a teenager who has just started menstruating, I feel very emotional and anxious; how can I cope with these feelings ka kya solution hai?",mental_wellness,self-care,"coping, remedy, self-help","மாதவிடாய் தொடங்கிய ஒரு இளைஞனாக, நான் மிகவும் உணர்ச்சிவசப்பட்டு ஆர்வமாக உணர்கிறேன்; இந்த உணர்வுகளை நான் எவ்வாறு சமாளிக்க முடியும்?","কিশোর বয়সে যিনি সবেমাত্র stru তুস্রাব শুরু করেছেন, আমি খুব সংবেদনশীল এবং উদ্বিগ্ন বোধ করি; আমি কীভাবে এই অনুভূতিগুলি সহ্য করতে পারি?","किशोरवयीन म्हणून ज्याने नुकतीच मासिक पाळी सुरू केली आहे, मला खूप भावनिक आणि चिंता वाटते; मी या भावनांचा सामना कसा करू शकतो?",ایک نوعمر ہونے کے ناطے جس نے ابھی حیض شروع کیا ہے ، میں بہت جذباتی اور پریشان محسوس کرتا ہوں۔ میں ان جذبات کا مقابلہ کیسے کرسکتا ہوں؟,"ఇప్పుడే stru తుస్రావం ప్రారంభించిన యుక్తవయసులో, నేను చాలా భావోద్వేగ మరియు ఆత్రుతగా ఉన్నాను; ఈ భావాలను నేను ఎలా ఎదుర్కోగలను?",TRUE,cramps,neutral,Hindi
"I'm on my period; is it okay to exercise, and what types of exercise could be beneficial?","मैं अपने अवधि पर हूं; क्या व्यायाम करना ठीक है, और किस प्रकार का व्यायाम फायदेमंद हो सकता है?","I'm on my period; is it okay to exercise, and what types of exercise could be beneficial ka kya solution hai?",exercise_guidance,self-care,"coping, remedy, self-help","நான் என் காலகட்டத்தில் இருக்கிறேன்; உடற்பயிற்சி செய்வது சரியா, எந்த வகையான உடற்பயிற்சி நன்மை பயக்கும்?",আমি আমার পিরিয়ডে আছি; অনুশীলন করা কি ঠিক আছে এবং কোন ধরণের অনুশীলন উপকারী হতে পারে?,मी माझ्या कालावधीत आहे; व्यायाम करणे ठीक आहे आणि कोणत्या प्रकारचे व्यायाम फायदेशीर ठरू शकतात?,میں اپنی مدت پر ہوں ؛ کیا ورزش کرنا ٹھیک ہے ، اور کس قسم کی ورزش فائدہ مند ثابت ہوسکتی ہے؟,"నేను నా కాలంలో ఉన్నాను; వ్యాయామం చేయడం సరైందే, మరియు ఏ రకమైన వ్యాయామం ప్రయోజనకరంగా ఉంటుంది?",TRUE,irritability,negative,Telugu
Which workouts or stretches can help relieve cramps and period discomfort?,कौन से वर्कआउट या स्ट्रेच ऐंठन और पीरियड असुविधा को दूर करने में मदद कर सकते हैं?,Which workouts or stretches can help relieve cramps and period discomfort ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",பிடிப்புகள் மற்றும் கால அச om கரியத்தை போக்க எந்த உடற்பயிற்சிகளும் நீட்டிப்புகளும் உதவும்?,কোন ওয়ার্কআউট বা প্রসারিত ক্র্যাম্প এবং পিরিয়ডের অস্বস্তি উপশম করতে সহায়তা করতে পারে?,कोणते वर्कआउट्स किंवा स्ट्रेच पेटके आणि कालावधीची अस्वस्थता कमी करण्यास मदत करू शकतात?,کون سے ورزش یا کھینچنے سے درد اور مدت کی تکلیف کو دور کرنے میں مدد مل سکتی ہے؟,ఏ వర్కౌట్స్ లేదా స్ట్రెచ్‌లు తిమ్మిరి మరియు పీరియడ్ అసౌకర్యాన్ని తగ్గించడానికి సహాయపడతాయి?,TRUE,low energy,neutral,Marathi
Are there any exercises or activities I should avoid during heavy flow days?,क्या कोई अभ्यास या गतिविधियाँ हैं जिनसे मुझे भारी प्रवाह के दिनों में बचना चाहिए?,Are there any exercises or activities I should avoid during heavy flow days ka kya solution hai?,mental_wellness,period health,"menstruation, pain, symptom",கனமான ஓட்ட நாட்களில் நான் தவிர்க்க வேண்டிய பயிற்சிகள் அல்லது நடவடிக்கைகள் ஏதேனும் உள்ளதா?,ভারী প্রবাহের দিনগুলিতে আমার কি কোনও অনুশীলন বা ক্রিয়াকলাপ এড়ানো উচিত?,जड प्रवाहाच्या दिवसात मी काही व्यायाम किंवा क्रियाकलाप टाळले पाहिजेत?,کیا بھاری بہاؤ کے دنوں میں مجھے کوئی مشقیں یا سرگرمیاں ہونا چاہئے؟,భారీ ప్రవాహ రోజులలో నేను నివారించాల్సిన వ్యాయామాలు లేదా కార్యకలాపాలు ఉన్నాయా?,TRUE,acne,neutral,Marathi
How can I modify my exercise routine when I'm feeling fatigued during my period?,जब मैं अपनी अवधि के दौरान थका हुआ महसूस कर रहा हूं तो मैं अपनी व्यायाम दिनचर्या को कैसे संशोधित कर सकता हूं?,How can I modify my exercise routine when I'm feeling fatigued during my period ka kya solution hai?,symptom_query,self-care,"coping, remedy, self-help",எனது காலகட்டத்தில் நான் சோர்வாக இருக்கும்போது எனது உடற்பயிற்சியை எவ்வாறு மாற்றுவது?,আমি যখন আমার সময়কালে ক্লান্তি বোধ করি তখন আমি কীভাবে আমার অনুশীলনের রুটিনটি সংশোধন করতে পারি?,जेव्हा मी माझ्या कालावधीत थकवा जाणवतो तेव्हा मी माझ्या व्यायामाची दिनचर्या कशी सुधारित करू शकतो?,جب میں اپنی مدت کے دوران تھکاوٹ محسوس کر رہا ہوں تو میں اپنے ورزش کے معمولات میں کیسے ترمیم کرسکتا ہوں؟,నా కాలంలో నేను అలసటతో ఉన్నప్పుడు నా వ్యాయామ దినచర్యను ఎలా సవరించగలను?,TRUE,anxiety,positive,Telugu
Can staying active with light workouts or yoga improve my mood and relieve cramps on my period?,क्या हल्के वर्कआउट या योग के साथ सक्रिय रहना मेरे मूड में सुधार कर सकता है और मेरी अवधि में ऐंठन को दूर कर सकता है?,Can staying active with light workouts or yoga improve my mood and relieve cramps on my period ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",ஒளி உடற்பயிற்சிகளோ அல்லது யோகாவிலோ சுறுசுறுப்பாக இருக்க முடியுமா?,হালকা ওয়ার্কআউট বা যোগের সাথে সক্রিয় থাকতে আমার মেজাজ উন্নত করতে এবং আমার পিরিয়ডে ক্র্যাম্পগুলি উপশম করতে পারে?,हलके वर्कआउट्स किंवा योगासह सक्रिय राहणे माझ्या मनःस्थितीत सुधारणा करू शकते आणि माझ्या कालावधीत पेटके कमी करू शकते?,کیا ہلکے ورزش یا یوگا کے ساتھ متحرک رہنے سے میرے موڈ میں بہتری آسکتی ہے اور میری مدت میں درد کو دور کیا جاسکتا ہے؟,తేలికపాటి వర్కౌట్స్ లేదా యోగాతో చురుకుగా ఉండడం నా మానసిక స్థితిని మెరుగుపరుస్తుంది మరియు నా కాలంలో తిమ్మిరి నుండి ఉపశమనం పొందగలదా?,TRUE,irritability,negative,Bengali
What precautions should I take if I want to run or play sports while menstruating?,यदि मैं मासिक धर्म करते समय खेल चलाना या खेलना चाहता हूं तो मुझे क्या सावधानी बरतनी चाहिए?,What precautions should I take if I want to run or play sports while menstruating ka kya solution hai?,exercise_guidance,general,general,மாதவிடாய் இருக்கும்போது விளையாட்டுகளை இயக்க அல்லது விளையாட விரும்பினால் நான் என்ன முன்னெச்சரிக்கை நடவடிக்கைகளை எடுக்க வேண்டும்?,Stru তুস্রাবের সময় আমি যদি খেলতে বা খেলাধুলা করতে চাই তবে আমার কী সতর্কতা অবলম্বন করা উচিত?,मासिक पाळी करताना मला खेळायचे किंवा खेळायचे असल्यास मी कोणती खबरदारी घ्यावी?,اگر میں حیض کے دوران کھیل کھیلنا یا کھیل کھیلنا چاہتا ہوں تو مجھے کیا احتیاطی تدابیر اختیار کرنی چاہئے؟,Stru తుస్రావం చేసేటప్పుడు క్రీడలు నడపడం లేదా ఆడాలనుకుంటే నేను ఏ జాగ్రత్తలు తీసుకోవాలి?,TRUE,irritability,negative,Bengali
"How might exercise affect my menstrual cycle, and should I change my workout intensity on certain days?","व्यायाम मेरे मासिक धर्म चक्र को कैसे प्रभावित कर सकता है, और क्या मुझे कुछ दिनों में अपनी कसरत की तीव्रता बदलनी चाहिए?","How might exercise affect my menstrual cycle, and should I change my workout intensity on certain days ka kya solution hai?",exercise_guidance,self-care,"coping, remedy, self-help","உடற்பயிற்சி எனது மாதவிடாய் சுழற்சியை எவ்வாறு பாதிக்கும், சில நாட்களில் எனது வொர்க்அவுட்டை மாற்ற வேண்டுமா?",অনুশীলন কীভাবে আমার stru তুস্রাবকে প্রভাবিত করতে পারে এবং নির্দিষ্ট দিনগুলিতে আমার ওয়ার্কআউটের তীব্রতা পরিবর্তন করা উচিত?,व्यायामामुळे माझ्या मासिक पाळीवर कसा परिणाम होईल आणि मी काही दिवसांवर माझी कसरत तीव्रता बदलू का?,ورزش میرے ماہواری کو کس طرح متاثر کرسکتی ہے ، اور کیا مجھے کچھ دنوں میں اپنی ورزش کی شدت کو تبدیل کرنا چاہئے؟,వ్యాయామం నా stru తు చక్రాన్ని ఎలా ప్రభావితం చేస్తుంది మరియు కొన్ని రోజులలో నా వ్యాయామ తీవ్రతను మార్చాలా?,TRUE,fatigue,positive,Tamil
Is swimming or gentle cardio a good option during my period?,क्या मेरी अवधि के दौरान तैराकी या कोमल कार्डियो एक अच्छा विकल्प है?,Is swimming or gentle cardio a good option during my period ka kya solution hai?,exercise_guidance,general,general,எனது காலகட்டத்தில் நீச்சல் அல்லது மென்மையான கார்டியோ ஒரு நல்ல விருப்பமா?,আমার পিরিয়ডের সময় কি সাঁতার বা মৃদু কার্ডিও একটি ভাল বিকল্প?,माझ्या कालावधीत पोहणे किंवा कोमल कार्डिओ एक चांगला पर्याय आहे?,کیا میری مدت کے دوران تیراکی یا نرم کارڈیو ایک اچھا آپشن ہے؟,నా కాలంలో ఈత లేదా సున్నితమైన కార్డియో మంచి ఎంపికగా ఉందా?,TRUE,acne,negative,Bengali
I often hear that you can't get pregnant if you have sex during your period; is that actually true?,मैं अक्सर सुनता हूं कि यदि आप अपनी अवधि के दौरान सेक्स करते हैं तो आप गर्भवती नहीं हो सकते; क्या यह वास्तव में सच है?,I often hear that you can't get pregnant if you have sex during your period; is that actually true ka kya solution hai?,myth_busting,general,general,உங்கள் காலகட்டத்தில் நீங்கள் உடலுறவு கொண்டால் நீங்கள் கர்ப்பமாக இருக்க முடியாது என்று நான் அடிக்கடி கேள்விப்படுகிறேன்; அது உண்மையில் உண்மையா?,আমি প্রায়শই শুনি যে আপনি যদি আপনার সময়কালে সেক্স করেন তবে আপনি গর্ভবতী হতে পারবেন না; এটা কি আসলে সত্য?,मी बर्‍याचदा ऐकतो की आपल्या कालावधीत आपण लैंगिक संबंध ठेवल्यास आपण गर्भवती होऊ शकत नाही; खरंच खरं आहे का?,میں اکثر سنتا ہوں کہ اگر آپ اپنی مدت کے دوران جنسی تعلقات رکھتے ہیں تو آپ حاملہ نہیں ہوسکتے ہیں۔ کیا حقیقت میں یہ سچ ہے؟,మీ కాలంలో మీరు సెక్స్ చేస్తే మీరు గర్భవతి కారని నేను తరచుగా వింటాను; ఇది నిజమేనా?,TRUE,anxiety,negative,Marathi
Some people say you shouldn't exercise or swim when you're menstruating; is that necessary or just a myth?,कुछ लोग कहते हैं कि जब आप मासिक धर्म कर रहे हों तो आपको व्यायाम या तैरना नहीं चाहिए; क्या यह आवश्यक है या सिर्फ एक मिथक है?,Some people say you shouldn't exercise or swim when you're menstruating; is that necessary or just a myth ka kya solution hai?,exercise_guidance,self-care,"coping, remedy, self-help",நீங்கள் மாதவிடாய் இருக்கும்போது உடற்பயிற்சி செய்யவோ நீந்தவோ கூடாது என்று சிலர் கூறுகிறார்கள்; அது அவசியமா அல்லது ஒரு கட்டுக்கதை?,কিছু লোক বলে যে আপনি যখন stru তুস্রাব করছেন তখন আপনার অনুশীলন করা বা সাঁতার কাটবেন না; এটি কি প্রয়োজনীয় নাকি কেবল একটি মিথ?,काही लोक म्हणतात की आपण मासिक पाळी लावता तेव्हा आपण व्यायाम किंवा पोहू नये; ते आवश्यक आहे की फक्त एक मिथक?,کچھ لوگ کہتے ہیں کہ جب آپ حیض کر رہے ہو تو آپ کو ورزش یا تیراکی نہیں کرنی چاہئے۔ کیا یہ ضروری ہے یا صرف ایک افسانہ؟,కొంతమంది మీరు stru తుస్రావం చేస్తున్నప్పుడు మీరు వ్యాయామం చేయకూడదని లేదా ఈత కొట్టకూడదని అంటున్నారు; అది అవసరమా లేదా కేవలం పురాణమా?,TRUE,acne,negative,Hinglish
I've heard that menstrual cycles sync up when people spend time together. Is that a proven fact or just a myth?,मैंने सुना है कि जब लोग एक साथ समय बिताते हैं तो मासिक धर्म चक्र सिंक करते हैं। क्या यह एक सिद्ध तथ्य है या सिर्फ एक मिथक है?,I've heard that menstrual cycles sync up when people spend time together. Is that a proven fact or just a myth ka kya solution hai?,myth_busting,general,general,மக்கள் ஒன்றாக நேரத்தை செலவிடும்போது மாதவிடாய் சுழற்சிகள் ஒத்திசைக்கின்றன என்று நான் கேள்விப்பட்டேன். இது ஒரு நிரூபிக்கப்பட்ட உண்மையா அல்லது ஒரு கட்டுக்கதை?,আমি শুনেছি যে লোকেরা যখন একসাথে সময় কাটায় তখন মাসিক চক্রগুলি সিঙ্ক হয়ে যায়। এটি কি প্রমাণিত সত্য বা কেবল একটি মিথ?,मी ऐकले आहे की जेव्हा लोक एकत्र वेळ घालवतात तेव्हा मासिक पाळीची सायकल समक्रमित होते. ती एक सिद्ध सत्य आहे की फक्त एक मिथक?,میں نے سنا ہے کہ جب لوگ ایک ساتھ وقت گزارتے ہیں تو ماہواری کے سائیکل ہم آہنگ ہوجاتے ہیں۔ کیا یہ ایک ثابت شدہ حقیقت ہے یا صرف ایک افسانہ؟,ప్రజలు కలిసి సమయం గడిపినప్పుడు stru తు చక్రాలు సమకాలీకరిస్తాయని నేను విన్నాను. ఇది నిరూపితమైన వాస్తవం లేదా కేవలం పురాణమా?,TRUE,cramps,neutral,Hinglish
I've heard period blood is 'dirty' or harmful – is there any truth to that?,मैंने सुना है कि अवधि 'गंदे' या हानिकारक है - क्या उस पर कोई सच्चाई है?,I've heard period blood is 'dirty' or harmful – is there any truth to that ka kya solution hai?,myth_busting,general,general,கால இரத்தம் 'அழுக்கு' அல்லது தீங்கு விளைவிக்கும் என்று நான் கேள்விப்பட்டிருக்கிறேன் - அதற்கு ஏதாவது உண்மை இருக்கிறதா?,আমি শুনেছি পিরিয়ড রক্ত 'নোংরা' বা ক্ষতিকারক - এর কি সত্যতা আছে?,मी ऐकले आहे की पीरियड रक्त 'गलिच्छ' किंवा हानिकारक आहे - त्यासाठी काही सत्य आहे का?,میں نے سنا ہے کہ خون 'گندا' یا نقصان دہ ہے - کیا اس کی کوئی حقیقت ہے؟,కాలం రక్తం 'మురికి' లేదా హానికరమైనది అని నేను విన్నాను - దానికి ఏదైనా నిజం ఉందా?,TRUE,cramps,negative,Marathi
I've heard using tampons can damage the hymen or mean you're not a virgin anymore. Is this true or just a myth?,मैंने सुना है कि टैम्पोन का उपयोग करने से हाइमन को नुकसान हो सकता है या इसका मतलब है कि आप अब कुंवारी नहीं हैं। क्या यह सच है या सिर्फ एक मिथक है?,I've heard using tampons can damage the hymen or mean you're not a virgin anymore. Is this true or just a myth ka kya solution hai?,myth_busting,general,general,டம்பான்களைப் பயன்படுத்துவது ஹைமனை சேதப்படுத்தும் அல்லது நீங்கள் இனி ஒரு கன்னி இல்லை என்று நான் கேள்விப்பட்டேன். இது உண்மையா அல்லது ஒரு கட்டுக்கதை?,আমি শুনেছি ট্যাম্পনগুলি ব্যবহার করে হাইমনকে ক্ষতি করতে পারে বা এর অর্থ আপনি আর কুমারী নন। এটি কি সত্য নাকি কেবল একটি মিথ?,मी ऐकले आहे की टॅम्पन्स वापरणे हायमेनचे नुकसान करू शकते किंवा याचा अर्थ असा आहे की आपण यापुढे कुमारी नाही. हे खरे आहे की फक्त एक मिथक आहे?,میں نے سنا ہے کہ ٹیمپون استعمال کرنے سے ہائمن کو نقصان پہنچ سکتا ہے یا اس کا مطلب ہے کہ آپ اب کنواری نہیں ہیں۔ یہ سچ ہے یا صرف ایک افسانہ؟,టాంపోన్‌లను ఉపయోగించడం హైమెన్‌ను దెబ్బతీస్తుందని నేను విన్నాను లేదా మీరు ఇకపై కన్య కాదని అర్థం. ఇది నిజమా లేదా కేవలం పురాణమా?,TRUE,acne,negative,Urdu
"Does having an irregular period always mean something is wrong, or can it sometimes be normal?","क्या अनियमित अवधि का मतलब हमेशा कुछ गलत होता है, या क्या यह कभी -कभी सामान्य हो सकता है?","Does having an irregular period always mean something is wrong, or can it sometimes be normal ka kya solution hai?",symptom_query,period health,"menstruation, pain, symptom","ஒழுங்கற்ற காலத்தைக் கொண்டிருப்பது எப்போதுமே ஏதோ தவறு என்று அர்த்தமா, அல்லது சில நேரங்களில் சாதாரணமாக இருக்க முடியுமா?","অনিয়মিত সময়কালের অর্থ কি সর্বদা কিছু ভুল হয়, বা এটি কখনও কখনও স্বাভাবিক হতে পারে?",अनियमित कालावधी असणे नेहमीच काहीतरी चुकीचे असते किंवा कधीकधी सामान्य असू शकते?,کیا فاسد مدت کا ہمیشہ مطلب یہ ہوتا ہے کہ کچھ غلط ہے ، یا یہ کبھی کبھی معمول کی بات ہوسکتی ہے؟,"క్రమరహిత కాలం కలిగి ఉండటం ఎల్లప్పుడూ ఏదో తప్పు అని అర్ధం, లేదా అది కొన్నిసార్లు సాధారణమైనదా?",TRUE,bloating,negative,English
